V1	V2	weight	condition
RNF19A	IL10RA	1	non-differential
RNF19A	FAM46C	1	non-differential
RNF19A	BAX	1	non-differential
SRGN	LITAF	1	non-differential
MT-ATP8	RPL4	1	non-differential
MT-ATP8	MGST3	1	non-differential
STAT4	WARS	1	non-differential
STAT4	SLC16A3	1	non-differential
STAT4	PARP8	1	non-differential
STAT4	IRF7	1	non-differential
STAT4	MALT1	1	non-differential
STAT4	NFKB2	1	non-differential
ITM2C	MT-ND3	1	non-differential
ITM2C	CD63	1	non-differential
ITM2C	TOM1	1	non-differential
FTL	TXNRD1	1	non-differential
FTL	TSC22D3	1	non-differential
FTL	TIMM10	1	non-differential
RPS29	TSC22D3	1	non-differential
RPS29	NAA38	1	non-differential
TUBA1C	PITPNC1	1	non-differential
TUBA1C	SYPL1	1	non-differential
TUBA1C	DEK	1	non-differential
BATF	EIF4A1	1	non-differential
TMSB10	GLRX	1	non-differential
HSPA5	PPA1	1	non-differential
ABCG1	IL32	1	non-differential
ABCG1	NAMPT	1	non-differential
ABCG1	GPX4	1	non-differential
TNFAIP3	AC133644.2	1	non-differential
TNFAIP3	ARID5A	1	non-differential
IL32	PTRHD1	1	non-differential
IL32	PRNP	1	non-differential
SSR4	SLC7A5	1	non-differential
SSR4	FAM107B	1	non-differential
SSR4	SEC11C	1	non-differential
SSR4	FAM50A	1	non-differential
SATB1	CMTM7	1	non-differential
SATB1	CHD2	1	non-differential
CKS2	BAZ1A	1	non-differential
CKS2	CTLA4	1	non-differential
CKS2	COTL1	1	non-differential
CKS2	KPNA2	1	non-differential
TBC1D4	CTSB	1	non-differential
LGALS3	TMPO	1	non-differential
LGALS3	CTSB	1	non-differential
LGALS3	LINC00152	1	non-differential
LGALS3	SRSF3	1	non-differential
LGALS3	MAP1LC3A	1	non-differential
LGALS3	TIMM13	1	non-differential
RPLP0	SPTBN1	1	non-differential
RPLP0	GPX4	1	non-differential
CD7	GLRX	1	non-differential
CD7	SYTL2	1	non-differential
CD7	CHCHD10	1	non-differential
CD5	IL16	1	non-differential
CD5	RABAC1	1	non-differential
CD5	ARHGEF7	1	non-differential
AKNA	CBLB	1	non-differential
FAM177A1	TRBC1	1	non-differential
FAM177A1	BHLHE40	1	non-differential
STAT5A	AC133644.2	1	non-differential
OASL	DNAJC1	1	non-differential
OASL	LCP1	1	non-differential
TMEM2	DDIT4	1	non-differential
TMEM2	TSHZ2	1	non-differential
SYAP1	ARHGAP9	1	non-differential
SYAP1	LMNB1	1	non-differential
MIR4435-2HG	LIMA1	1	non-differential
MIR4435-2HG	RASAL3	1	non-differential
DDIT4	ABLIM1	1	non-differential
DDIT4	S1PR1	1	non-differential
DDIT4	SPOCK2	1	non-differential
AC133644.2	CDC25B	1	non-differential
AC133644.2	PTP4A1	1	non-differential
AC133644.2	PIM3	1	non-differential
GLA	RALGAPA1	1	non-differential
GALNT2	ENTPD1	1	non-differential
GALNT2	ITGAE	1	non-differential
SAMSN1	PTGER4	1	non-differential
SAMSN1	CRIP1	1	non-differential
SAMSN1	DOK2	1	non-differential
ID2	APMAP	1	non-differential
ID2	RHBDF2	1	non-differential
ID2	HSP90B1	1	non-differential
H2AFX	TXNRD1	1	non-differential
H2AFX	IL4R	1	non-differential
LITAF	IRF2BP2	1	non-differential
GPCPD1	PTGER4	1	non-differential
GPCPD1	TRAF1	1	non-differential
GPCPD1	ITGA4	1	non-differential
RGCC	CHST12	1	non-differential
RGCC	TNFAIP8	1	non-differential
TRAF3IP3	TESC	1	non-differential
TRAF3IP3	CTSA	1	non-differential
MALAT1	GSTP1	1	non-differential
CORO1B	IL4R	1	non-differential
CORO1B	PMVK	1	non-differential
CORO1B	TOM1	1	non-differential
TRBC1	IER2	1	non-differential
TRBC1	ANKRD10	1	non-differential
TRBC1	NUDT5	1	non-differential
IL2RB	SYNGR2	1	non-differential
IL2RB	CD6	1	non-differential
IL2RB	POLR3E	1	non-differential
CYSTM1	DCP1B	1	non-differential
CYSTM1	RAB11FIP1	1	non-differential
CYSTM1	RHBDD2	1	non-differential
WARS	SQSTM1	1	non-differential
WARS	MTHFD2	1	non-differential
ICOS	RPL4	1	non-differential
RPL41	SARAF	1	non-differential
SRSF7	BHLHE40	1	non-differential
SRSF7	PSAP	1	non-differential
SRSF7	CLEC2D	1	non-differential
ENTPD1	DUSP16	1	non-differential
LY6E	NHP2	1	non-differential
LY6E	PTMS	1	non-differential
ARHGAP9	YIPF5	1	non-differential
INSIG1	IL21R	1	non-differential
CPNE3	RALGAPA1	1	non-differential
CPNE3	ITGAE	1	non-differential
CLEC2B	ARID5A	1	non-differential
YPEL5	GAPDH	1	non-differential
YPEL5	NAA38	1	non-differential
S100A6	C1QBP	1	non-differential
TNFRSF25	PMAIP1	1	non-differential
TNFRSF25	EMP3	1	non-differential
TNFRSF25	FAM46C	1	non-differential
TUBA4A	EZR	1	non-differential
TUBA4A	VIM	1	non-differential
TUBA4A	RBM3	1	non-differential
TUBA4A	GTF3A	1	non-differential
TUBA4A	IL4R	1	non-differential
TUBA4A	SLC9A3R1	1	non-differential
APOBEC3G	PRKX	1	non-differential
APOBEC3G	JOSD1	1	non-differential
EZR	CDC25B	1	non-differential
EZR	TPM4	1	non-differential
SYNGR2	NEAT1	1	non-differential
SYNGR2	SOCS1	1	non-differential
SYNGR2	PTMS	1	non-differential
CCND2	PBXIP1	1	non-differential
CCND2	CTSS	1	non-differential
PTTG1	CMTM7	1	non-differential
UCP2	STAT3	1	non-differential
UCP2	PTP4A1	1	non-differential
GBP4	CMC1	1	non-differential
GBP4	NDRG1	1	non-differential
GBP4	TIMM10	1	non-differential
PBX4	AK6	1	non-differential
TGFB1	LAMP1	1	non-differential
TGFB1	SARAF	1	non-differential
TGFB1	PLIN2	1	non-differential
TGFB1	ARAP2	1	non-differential
CMIP	TOM1	1	non-differential
FOSL2	MRPL11	1	non-differential
FOSL2	CDC42EP3	1	non-differential
RALGAPA1	UPP1	1	non-differential
RALGAPA1	PABPC1	1	non-differential
ATP5G1	CBLB	1	non-differential
ATP5G1	AHNAK	1	non-differential
EML4	TPM4	1	non-differential
EML4	ADGRE5	1	non-differential
ABLIM1	SARAF	1	non-differential
ABLIM1	ASAH1	1	non-differential
ABLIM1	DNAJB9	1	non-differential
ABLIM1	CDK4	1	non-differential
ABLIM1	YBX1	1	non-differential
LDLRAD4	GTF3A	1	non-differential
HTATIP2	OAT	1	non-differential
PMAIP1	PPP1R16B	1	non-differential
PMAIP1	TNFSF10	1	non-differential
PMAIP1	SMS	1	non-differential
PMAIP1	OFD1	1	non-differential
PPA1	FOXP1	1	non-differential
PPA1	NUDT5	1	non-differential
CDC25B	NAMPT	1	non-differential
PRKX	SDCBP	1	non-differential
PDCD1	SNRPN	1	non-differential
RBM3	C1QBP	1	non-differential
JAML	FAM107B	1	non-differential
JAML	DNAJC1	1	non-differential
PRELID1	TESC	1	non-differential
PTGER4	BIRC2	1	non-differential
POR	SLC16A3	1	non-differential
MAGED2	SRSF3	1	non-differential
MAGED2	PRNP	1	non-differential
AHI1	TNFSF10	1	non-differential
AHI1	DDX3Y	1	non-differential
AHI1	BAX	1	non-differential
VPS37B	CTSB	1	non-differential
HLA-E	HNRNPAB	1	non-differential
HLA-E	IL4R	1	non-differential
HLA-E	ARHGEF7	1	non-differential
HLA-E	ITGAE	1	non-differential
ITM2A	CD53	1	non-differential
SNRPN	ANKRD10	1	non-differential
SNRPN	LMBRD1	1	non-differential
SNRPN	NUCKS1	1	non-differential
LYST	SDF2L1	1	non-differential
LYST	LMNB1	1	non-differential
LYST	BAZ1A	1	non-differential
LAPTM4A	FAM46C	1	non-differential
CMC1	CDKN1B	1	non-differential
CMC1	LCP1	1	non-differential
SDF2L1	LMBRD1	1	non-differential
APMAP	SMC4	1	non-differential
